name,count
Carnegie Mellon University,4
Columbia University,6
Dartmouth College,6
Duke University,9
Massachusetts Institute of Technology,7
Northwestern University,4
University of California Berkeley,10
University of North Carolina Chapel Hill,9
University of Notre Dame,
University of Virginia,9
University of Wisconsin Madison,4
Vanderbilt University,6
Wake Forest University,9
Washington University St. Louis,8
Lehigh University,6
University of California Santa Barbara,12
University of Miami,12
University of Washington,6
Rice University,
California Institute of Technology,
Tufts University,5
Case Western Reserve University,4
University of Rochester,4
Brandeis University,
University of Michigan Ann Arbor,6
University of Chicago,5
Emory University,11
Johns Hopkins University,9
College of William and Mary,7
University of California San Diego,12
George Washington University,6
New York University,6
Georgia Institute of Technology,9
University of California Irvine,12
Boston College,
Georgetown University,
Cornell University,4
Pennsylvania State University,5
Yale University,5
University of Pennsylvania,9
University of California Davis,8
Princeton University,
University of Illinois Urbana Champaign,6
University of Southern California,12
University of Texas at Austin,11
Stanford University,12
Harvard University,
