name,count
Carnegie Mellon University,7
Columbia University,7
Dartmouth College,9
Duke University,10
Massachusetts Institute of Technology,8
Northwestern University,7
University of California Berkeley,8
University of North Carolina Chapel Hill,10
University of Notre Dame,9
University of Virginia,12
University of Wisconsin Madison,12
Vanderbilt University,10
Wake Forest University,12
Washington University St. Louis,9
Lehigh University,11
University of California Santa Barbara,12
University of Miami,12
University of Washington,7
Rice University,10
California Institute of Technology,5
Tufts University,8
Case Western Reserve University,6
University of Rochester,9
Brandeis University,8
University of Michigan Ann Arbor,10
University of Chicago,6
Emory University,7
Johns Hopkins University,7
College of William and Mary,9
University of California San Diego,6
George Washington University,6
New York University,8
Georgia Institute of Technology,6
University of California Irvine,7
Boston College,9
Georgetown University,7
Cornell University,9
Pennsylvania State University,10
Yale University,12
University of Pennsylvania,10
University of California Davis,9
Princeton University,11
University of Illinois Urbana Champaign,10
University of Southern California,12
University of Texas at Austin,11
Stanford University,9
Harvard University,7
