name,count
Carnegie Mellon University,6
Columbia University,7
Dartmouth College,9
Duke University,9
Massachusetts Institute of Technology,8
Northwestern University,9
University of California Berkeley,8
University of North Carolina Chapel Hill,12
University of Notre Dame,8
University of Virginia,12
University of Wisconsin Madison,12
Vanderbilt University,12
Wake Forest University,12
Washington University St. Louis,7
Lehigh University,9
University of California Santa Barbara,12
University of Miami,12
University of Washington,8
Rice University,9
California Institute of Technology,4
Tufts University,9
Case Western Reserve University,6
University of Rochester,8
Brandeis University,6
University of Michigan Ann Arbor,9
University of Chicago,7
Emory University,8
Johns Hopkins University,6
College of William and Mary,8
University of California San Diego,7
George Washington University,7
New York University,9
Georgia Institute of Technology,4
University of California Irvine,8
Boston College,10
Georgetown University,12
Cornell University,9
Pennsylvania State University,10
Yale University,11
University of Pennsylvania,10
University of California Davis,9
Princeton University,9
University of Illinois Urbana Champaign,11
University of Southern California,11
University of Texas at Austin,12
Stanford University,9
Harvard University,6
