name,count
Carnegie Mellon University,9
Columbia University,7
Dartmouth College,12
Duke University,10
Massachusetts Institute of Technology,12
Northwestern University,11
University of California Berkeley,9
University of North Carolina Chapel Hill,7
University of Notre Dame,11
University of Virginia,9
University of Wisconsin Madison,9
Vanderbilt University,12
Wake Forest University,10
Washington University St. Louis,11
Lehigh University,9
University of California Santa Barbara,9
University of Miami,8
University of Washington,9
Rice University,10
California Institute of Technology,6
Tufts University,6
Case Western Reserve University,12
University of Rochester,10
Brandeis University,6
University of Michigan Ann Arbor,8
University of Chicago,7
Emory University,11
Johns Hopkins University,7
College of William and Mary,11
University of California San Diego,7
George Washington University,7
New York University,5
Georgia Institute of Technology,10
University of California Irvine,9
Boston College,11
Georgetown University,12
Cornell University,9
Pennsylvania State University,9
Yale University,6
University of Pennsylvania,12
University of California Davis,9
Princeton University,9
University of Illinois Urbana Champaign,9
University of Southern California,9
University of Texas at Austin,7
Stanford University,9
Harvard University,9
