name,count
Carnegie Mellon University,8
Columbia University,9
Dartmouth College,8
Duke University,7
Massachusetts Institute of Technology,11
Northwestern University,8
University of California Berkeley,11
University of North Carolina Chapel Hill,10
University of Notre Dame,3
University of Virginia,10
University of Wisconsin Madison,9
Vanderbilt University,9
Wake Forest University,8
Washington University St. Louis,11
Lehigh University,8
University of California Santa Barbara,11
University of Miami,8
University of Washington,9
Rice University,11
California Institute of Technology,11
Tufts University,10
Case Western Reserve University,10
University of Rochester,8
Brandeis University,4
University of Michigan Ann Arbor,12
University of Chicago,9
Emory University,10
Johns Hopkins University,10
College of William and Mary,8
University of California San Diego,10
George Washington University,11
New York University,10
Georgia Institute of Technology,10
University of California Irvine,9
Boston College,7
Georgetown University,9
Cornell University,8
Pennsylvania State University,11
Yale University,9
University of Pennsylvania,10
University of California Davis,12
Princeton University,7
University of Illinois Urbana Champaign,10
University of Southern California,8
University of Texas at Austin,11
Stanford University,9
Harvard University,5
