name,count
Carnegie Mellon University,5
Columbia University,5
Dartmouth College,7
Duke University,12
Massachusetts Institute of Technology,8
Northwestern University,11
University of California Berkeley,11
University of North Carolina Chapel Hill,11
University of Notre Dame,11
University of Virginia,11
University of Wisconsin Madison,12
Vanderbilt University,11
Wake Forest University,11
Washington University St. Louis,5
Lehigh University,7
University of California Santa Barbara,8
University of Miami,11
University of Washington,11
Rice University,7
California Institute of Technology,4
Tufts University,4
Case Western Reserve University,7
University of Rochester,7
Brandeis University,5
University of Michigan Ann Arbor,12
University of Chicago,5
Emory University,7
Johns Hopkins University,7
College of William and Mary,6
University of California San Diego,5
George Washington University,5
New York University,4
Georgia Institute of Technology,12
University of California Irvine,6
Boston College,11
Georgetown University,11
Cornell University,7
Pennsylvania State University,12
Yale University,8
University of Pennsylvania,6
University of California Davis,7
Princeton University,7
University of Illinois Urbana Champaign,11
University of Southern California,12
University of Texas at Austin,12
Stanford University,11
Harvard University,7
