name,count
Carnegie Mellon University,10
Columbia University,12
Dartmouth College,6
Duke University,8
Massachusetts Institute of Technology,11
Northwestern University,9
University of California Berkeley,9
University of North Carolina Chapel Hill,9
University of Notre Dame,9
University of Virginia,9
University of Wisconsin Madison,11
Vanderbilt University,11
Wake Forest University,6
Washington University St. Louis,10
Lehigh University,4
University of California Santa Barbara,10
University of Miami,9
University of Washington,10
Rice University,10
California Institute of Technology,5
Tufts University,9
Case Western Reserve University,9
University of Rochester,7
Brandeis University,7
University of Michigan Ann Arbor,10
University of Chicago,9
Emory University,10
Johns Hopkins University,8
College of William and Mary,7
University of California San Diego,9
George Washington University,11
New York University,12
Georgia Institute of Technology,9
University of California Irvine,9
Boston College,9
Georgetown University,10
Cornell University,8
Pennsylvania State University,9
Yale University,7
University of Pennsylvania,10
University of California Davis,9
Princeton University,6
University of Illinois Urbana Champaign,8
University of Southern California,8
University of Texas at Austin,12
Stanford University,7
Harvard University,10
