name,count
Carnegie Mellon University,7
Columbia University,6
Dartmouth College,10
Duke University,8
Massachusetts Institute of Technology,10
Northwestern University,8
University of California Berkeley,6
University of North Carolina Chapel Hill,7
University of Notre Dame,10
University of Virginia,10
University of Wisconsin Madison,8
Vanderbilt University,8
Wake Forest University,8
Washington University St. Louis,12
Lehigh University,9
University of California Santa Barbara,8
University of Miami,6
University of Washington,7
Rice University,12
California Institute of Technology,9
Tufts University,6
Case Western Reserve University,5
University of Rochester,8
Brandeis University,7
University of Michigan Ann Arbor,8
University of Chicago,10
Emory University,10
Johns Hopkins University,9
College of William and Mary,6
University of California San Diego,7
George Washington University,7
New York University,7
Georgia Institute of Technology,6
University of California Irvine,9
Boston College,7
Georgetown University,8
Cornell University,8
Pennsylvania State University,7
Yale University,12
University of Pennsylvania,6
University of California Davis,10
Princeton University,10
University of Illinois Urbana Champaign,7
University of Southern California,9
University of Texas at Austin,8
Stanford University,11
Harvard University,12
